run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	bam_ftp
ERR4097206	PRJEB38036	SAMEA6804948	ERX4088379	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4097206/ERR4097206_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4097206/ERR4097206_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097206/D6300_4_21.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097206/D6300_4_21.2.rmhost.fq.gz	
ERR4097207	PRJEB38036	SAMEA6804947	ERX4088380	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/007/ERR4097207/ERR4097207_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/007/ERR4097207/ERR4097207_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097207/D6300_4_20.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097207/D6300_4_20.2.rmhost.fq.gz	
ERR4097208	PRJEB38036	SAMEA6804950	ERX4088381	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4097208/ERR4097208_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4097208/ERR4097208_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097208/D6300_4_2.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097208/D6300_4_2.2.rmhost.fq.gz	
ERR4097210	PRJEB38036	SAMEA6804944	ERX4088383	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/000/ERR4097210/ERR4097210_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/000/ERR4097210/ERR4097210_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097210/D6300_39.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097210/D6300_39.2.rmhost.fq.gz	
ERR4097211	PRJEB38036	SAMEA6804943	ERX4088384	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4097211/ERR4097211_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4097211/ERR4097211_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097211/D6300_38.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097211/D6300_38.2.rmhost.fq.gz	
ERR4097212	PRJEB38036	SAMEA6804946	ERX4088385	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4097212/ERR4097212_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4097212/ERR4097212_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097212/D6300_37.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097212/D6300_37.2.rmhost.fq.gz	
ERR4097232	PRJEB38036	SAMEA6804927	ERX4088405	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4097232/ERR4097232_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4097232/ERR4097232_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097232/D6300_12.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097232/D6300_12.2.rmhost.fq.gz	
ERR4097237	PRJEB38036	SAMEA6804737	ERX4088410	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/007/ERR4097237/ERR4097237_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/007/ERR4097237/ERR4097237_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097237/D6300_30.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097237/D6300_30.2.rmhost.fq.gz	
ERR4097238	PRJEB38036	SAMEA6804736	ERX4088411	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4097238/ERR4097238_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4097238/ERR4097238_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097238/D6300_31.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097238/D6300_31.2.rmhost.fq.gz	
ERR4097239	PRJEB38036	SAMEA6804747	ERX4088412	408170	human gut metagenome		ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097239/D6300_2_7.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097239/D6300_2_7.2.rmhost.fq.gz	
ERR4097240	PRJEB38036	SAMEA6804746	ERX4088413	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/000/ERR4097240/ERR4097240_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/000/ERR4097240/ERR4097240_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097240/D6300_2_8.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097240/D6300_2_8.2.rmhost.fq.gz	
ERR4097241	PRJEB38036	SAMEA6804745	ERX4088414	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4097241/ERR4097241_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4097241/ERR4097241_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097241/D6300_2_2.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097241/D6300_2_2.2.rmhost.fq.gz	
ERR4097242	PRJEB38036	SAMEA6804744	ERX4088415	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4097242/ERR4097242_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4097242/ERR4097242_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097242/D6300_2_3.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097242/D6300_2_3.2.rmhost.fq.gz	
ERR4097243	PRJEB38036	SAMEA6804751	ERX4088416	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4097243/ERR4097243_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4097243/ERR4097243_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097243/D6300_29.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097243/D6300_29.2.rmhost.fq.gz	
ERR4097244	PRJEB38036	SAMEA6804750	ERX4088417	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/004/ERR4097244/ERR4097244_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/004/ERR4097244/ERR4097244_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097244/D6300_3_1.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097244/D6300_3_1.2.rmhost.fq.gz	
ERR4097245	PRJEB38036	SAMEA6804749	ERX4088418	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4097245/ERR4097245_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4097245/ERR4097245_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097245/D6300_27.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097245/D6300_27.2.rmhost.fq.gz	
ERR4097261	PRJEB38036	SAMEA6804934	ERX4088434	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4097261/ERR4097261_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4097261/ERR4097261_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097261/D6300_2_1.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097261/D6300_2_1.2.rmhost.fq.gz	
ERR4097262	PRJEB38036	SAMEA6804933	ERX4088435	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4097262/ERR4097262_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4097262/ERR4097262_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097262/D6300_18.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097262/D6300_18.2.rmhost.fq.gz	
ERR4097264	PRJEB38036	SAMEA6804926	ERX4088437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/004/ERR4097264/ERR4097264_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/004/ERR4097264/ERR4097264_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097264/D6300_11.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097264/D6300_11.2.rmhost.fq.gz	
ERR4097266	PRJEB38036	SAMEA6804928	ERX4088439	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4097266/ERR4097266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4097266/ERR4097266_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097266/D6300_13.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097266/D6300_13.2.rmhost.fq.gz	
ERR4097268	PRJEB38036	SAMEA6804930	ERX4088441	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4097268/ERR4097268_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4097268/ERR4097268_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097268/D6300_15.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097268/D6300_15.2.rmhost.fq.gz	
ERR4097269	PRJEB38036	SAMEA6804929	ERX4088442	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/009/ERR4097269/ERR4097269_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/009/ERR4097269/ERR4097269_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097269/D6300_14.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097269/D6300_14.2.rmhost.fq.gz	
ERR4097270	PRJEB38036	SAMEA6804932	ERX4088443	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/000/ERR4097270/ERR4097270_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/000/ERR4097270/ERR4097270_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097270/D6300_17.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097270/D6300_17.2.rmhost.fq.gz	
ERR4097271	PRJEB38036	SAMEA6804931	ERX4088444	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4097271/ERR4097271_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4097271/ERR4097271_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097271/D6300_16.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097271/D6300_16.2.rmhost.fq.gz	
ERR4097272	PRJEB38036	SAMEA6804949	ERX4088445	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4097272/ERR4097272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4097272/ERR4097272_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097272/D6300_4_1.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097272/D6300_4_1.2.rmhost.fq.gz	
ERR4097276	PRJEB38036	SAMEA6804945	ERX4088449	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4097276/ERR4097276_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4097276/ERR4097276_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097276/D6300_32.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097276/D6300_32.2.rmhost.fq.gz	
